Recipe Name,Total Time In Mins,URL,Cleaned-Ingredients,Ingredient-count
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,35,https://www.archanaskitchen.com/hariyali-egg-curry-recipe-in-coriander-and-mint-gravy,"green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil",13
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,30,https://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi,"coriander (dhania) leaves,cucumber grind,salt,green,cumin powder,curd,gourd",7
Homemade Tater Tots Recipe,60,https://www.archanaskitchen.com/homemade-tater-tots-recipe,"salt,rice flour,coriander (dhania) leaves,onion powder,sunflower oil the r tots,flour (maida),red chilli flakes,garlic powder,potato (aloo),dried oregano",10
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,60,https://www.archanaskitchen.com/chettinad-vegetable-pulao-recipe-with-kohinoor-silver-basmati-rice-in-hindi,"turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas",19
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,15,https://www.archanaskitchen.com/lehsun-amla-chutney-recipe-garlic-gooseberry-chutney-in-hindi,"cashew nuts,salt,rye,urad dal,mint,coriander,curry leaves,amla,onion,oil,chana dal,bud garlic,green chillies",13
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,60,https://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread,"salt,wheat flour,cumin powder (jeera),ghee on thalipeeth,coriander (dhania) leaves,red chilli powder,cloves garlic,gram flour (besan),cucumber,coriander powder,rice flour,turmeric powder,green chillies",13
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,30,https://www.archanaskitchen.com/homemade-healthy-subway-sandwich-recipe-with-beet-sprout,"tomato,salt,hung curd (greek yogurt),stalks spring onion (bulb greens),coriander (dhania) leaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread (subway bread) (flat breads foot s)",11
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,45,https://www.archanaskitchen.com/murungakkai-poriyal-recipe-south-indian-style-drumstick-stir-fry,"salt,mustard seeds,coconut,water,drumstick,curry leaves,dry red chillies,turmeric powder,coconut oil,green chillies",10
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,25,https://www.archanaskitchen.com/mango-saffron-lassi-recipe,"mango pulp (puree),milk cold milk,ice cubes,saffron strands,curd,badam (almond)",6
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,25,https://www.archanaskitchen.com/chettinad-sweet-paniyaram-recipe-in-hindi,"cardamom powder,salt,idli dosa mixture,coconut,jaggery,rice rava,water,oil",8
Mini Dal Samosa Curry / Sabzi Recipe,35,https://www.archanaskitchen.com/mini-dal-samosa-curry-recipe,"cashew nuts,black cardamom (badi elaichi),tomato,kashmiri red chilli powder,samosas mini,green chilli,ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),cloves cloves (laung),black peppercorns,sugar,cinnamon stick (dalchini),mace (javitri),onion,coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder,sunflower oil",20
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,30,https://www.archanaskitchen.com/spinach-garlic-bruschetta-recipe-with-red-bell-pepper-sauce,"tomato,salt,baguette,italian,garlic,onion,cheddar cheese,black pepper powder,tomato pasta sauce,spinach leaves (palak),butter,red bell pepper (capsicum) (",12
Mini Dal Mature Chat Recipe - That Perfect Party Snack,65,https://www.archanaskitchen.com/mini-dal-pakwan-chaat-recipe-a-perfect-party-snack,"asafoetida (hing),ajwain (carom seeds),curry leaves,onion,cumin seeds (jeera),turmeric powder,green chillies,chana dal (bengal gram dal),sunflower oil,salt,wheat flour,sev,pomegranate fruit kernels,flour (maida),green chutney (coriander mint),garam masala powder,red chilli powder,sweet chutney (date tamarind),sugar,amchur (dry mango powder),ghee",21
Asian Style Sweet & Spicy Green Beans Recipe,25,https://www.archanaskitchen.com/asian-style-spicy-green-beans-recipe,"salt,green beans (french beans),rice wine vinegar,sesame (gingelly) oil,cloves garlic,soy sauce,thai sweet chilli sauce,lemon,peanuts (moongphali)",9
Chinese Darsaan Recipe With Ice Cream,40,https://www.archanaskitchen.com/chinese-darsaan-recipe-with-ice-cream,"baking powder,water make the dough,water,sugar,vanilla,flour (maida),sesame seeds (til seeds) white,sunflower oil",8
Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,65,https://www.archanaskitchen.com/sundakkai-and-methi-leaves-sambar-recipe-in-hindi,"tomato,turmeric powder,salt,coriander (dhania) leaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds",17
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",15,https://www.archanaskitchen.com/cabbage-spinach-pomegranate-slaw-with-lemon-dressing-recipe,"salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage (patta gobi muttaikose),pepper",7
Matar Samosa Recipe -Green Pea Samosa,55,https://www.archanaskitchen.com/matar-samosa-recipe-green-pea-samosa,"salt,cinnamon powder (dalchini),amchur (dry mango powder),ghee,red chilli powder,green peas (matar),water,green chilli sauce,cumin seeds (jeera),flour (maida),garam masala powder,sunflower oil",12
Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,40,https://www.archanaskitchen.com/eggless-chocolate-cupcakes-with-raspberry-and-cream-cheese-frosting-recipe,"cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour (maida)",13
Kerala pala pradham recipe,90,https://www.archanaskitchen.com/kerala-palada-pradhaman-recipe,"ada,ghee,sugar,cardamom powder (elaichi),milk full",5
Tindora Sambharo Recipe - Instant Tendli Pickle,35,https://www.archanaskitchen.com/tindora-sambharo-recipe-instant-tendli-pickle,"salt,sunflower oil,asafoetida (hing),red chilli powder,split methi seeds (methi kuria),tindora (dondakaya kovakkai),lemon,turmeric powder,split mustard seeds (rai kuria)",9
Chettinad Style Chicken Roast Recipe,35,https://www.archanaskitchen.com/chettinad-style-chicken-roast-recipe,"jaggery,cloves garlic,black peppercorns,curry leaves,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,chicken legs,sunflower oil,salt,cardamom (elaichi) podsseeds,dry red chillies,tamarind paste,kalonji (onion nigella seeds),coconut,mustard seeds,methi seeds (fenugreek seeds),hung curd (greek yogurt),ginger,ghee,fennel seeds (saunf),cinnamon stick (dalchini),cloves (laung)",24
Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,25,https://www.archanaskitchen.com/palakottai-kuzhambu-recipe-kongunad-style-jackfruit-seeds-curry,"tomato,coriander (dhania),jackfruit seeds (kathal),salt,tamarind water,mustard seeds,asafoetida (hing),coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds (jeera),coriander (dhania) seeds,turmeric powder,sambar powder,sunflower oil",19
Baingan Bharta Recipe - Brinjal Bharta Recipe,60,https://www.archanaskitchen.com/baingan-bharta-recipe-in-hindi,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder",13
Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,10,https://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea,"milk,water,saffron strands,tea leaves",4
Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,35,https://www.archanaskitchen.com/pacha-manga-pachadi-recipe-tamil-nadu-raw-mango-pachadi-in-hindi,"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder",11
Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,55,https://www.archanaskitchen.com/kodava-style-mudi-chekke-barthad-recipe-raw-jackfruit-black-chickpea-stir-fry,"tomato,jackfruit seeds (kathal),ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),cinnamon stick (dalchini),turmeric powder,cloves (laung),kala chana (brown chickpeas)",15
Whole Wheat Crepe Recipe With Herbed Vegetables,55,https://www.archanaskitchen.com/whole-wheat-crepe-recipe-with-herbed-vegetables,"salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli",8
Makki and Methi Roti Recipe,30,https://www.archanaskitchen.com/makki-and-methi-roti-recipe,"salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies",6
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,30,https://www.archanaskitchen.com/cabbage-and-carrot-sambharo-recipe-gujarati-vegetable-stirfry,"salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil",12
Whole Wheat Pita Bread Recipe,70,https://www.archanaskitchen.com/whole-wheat-pita-bread-recipe,"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour (maida)",7
Andhra Steel Tomato Knock Recipe (Tomato Chutney),75,https://www.archanaskitchen.com/andhra-style-tamati-pachadi-recipe-tomato-chutney,"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds (fenugreek seeds),tamarind paste,turmeric powder,sunflower oil",10
Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,30,https://www.archanaskitchen.com/herbed-brown-rice-recipe-in-hindi,"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano",9
Rajasthani very roti recipe,45,https://www.archanaskitchen.com/rajasthani-khooba-roti-recipe,"salt,wheat flour,water,ghee",4
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),25,https://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney,"salt,ridge gourd skin (turai peerkangai),mustard seeds,curry leaves,white urad dal (split),dry red chillies,methi seeds (fenugreek seeds),tamarind,sunflower oil",9
Dalia Pakora Recipe - Dalia Pakora Recipe,25,https://www.archanaskitchen.com/dalia-pakora-recipe-broken-wheat-pakora-in-hindi,"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil",13
Paneer Tikka Saddle Roll Recipe,60,https://www.archanaskitchen.com/paneer-tikka-kathi-roll-recipe,"salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder",17
Pan Fried Rice Balls Filled With Cheese Recipe,65,https://www.archanaskitchen.com/pan-fried-rice-balls-filled-with-cheese-recipe,"salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour (maida),wheat bread crumbs,butter,sunflower oil",13
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,65,https://www.archanaskitchen.com/spicy-seafood-stew-casserole-with-tomatoes-and-lime-recipe,"tomato,salt,cumin powder (jeera),red chillies,fish fillet basa,paprika powder,coriander (dhania) leaves,chicken stock,cloves garlic,carrot,virgin olive oil,onion,lemon,baby potatoes,black pepper powder,coconut milk,clamps,prawns",18
Spicy Chilli Garlic Noodles Recipe,40,https://www.archanaskitchen.com/spicy-chilli-garlic-noodles-recipe,"salt,water,cloves garlic,soy sauce,white vinegar,green bell pepper (capsicum),tomato ketchup,onion,dry red chillies (chilli flakes),black pepper powder,hakka noodles,red chilli sauce,sunflower oil",13
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,75,https://www.archanaskitchen.com/chanar-dalna-recipe-bengali-style-paneer-potato-gravy,"tomato,salt,ginger,bay leaf (tej patta),paneer,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),panch phoran masala,turmeric powder,sunflower oil",13
Cheesy Garlic Broccoli Nuggets Recipe,35,https://www.archanaskitchen.com/broccoli-nuggets-recipe,"salt,corn flour,nutralite cheesy garlic mayo,mozzarella cheese,nutralite garlic oregano pan roasting,broccoli florets,wheat bread crumbs",7
Bengali radish potato vegetable recipe,35,https://www.archanaskitchen.com/bengali-mooli-aloo-ki-sabzi-in-mustard-gravy-recipe,"salt,kasundi mustard sauce,kalonji (onion nigella seeds),green chilli,mustard oil,mustard seeds,potato (aloo),red chilli powder,sugar,onion,cumin seeds (jeera),turmeric powder,mooli mullangi (radish)",13
Beetroot Sambar Recipe,55,https://www.archanaskitchen.com/beetroot-sambar-recipe-in-hindi,"salt,coriander,tamarind water,asafoetida,mustard,curry leaves,dry red chilli,chakundar,sesame oil,arhar dal,sambar powder",11
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),35,https://www.archanaskitchen.com/kaddu-palak-roti-recipe-pumpkin-spinach-flat-bread,"salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds (jeera),parangikai pumpkin (red preferably),coriander powder,water dough,turmeric powder",10
Iranian Baida Curry Recipe,40,https://www.archanaskitchen.com/iranian-baida-curry-recipe,"salt,ginger,eggs,coconut,jaggery,cloves garlic,dry red chilli,coriander (dhania) leaves,coriander (dhania) seeds,onion,poppy seeds,badam (almond),sesame seeds (til seeds),sunflower oil",14
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),50,https://www.archanaskitchen.com/vegan-chickpea-omelette-recipe-spiced-chickpea-flour-pancakes,"tomato,salt,ginger,asafoetida (hing),coriander (dhania) leaves,ajwain (carom seeds),cloves garlic,water,gram flour (besan),baking soda,onion,coconut milk,turmeric powder,green chillies,sunflower oil",15
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,40,https://www.archanaskitchen.com/ulundu-kozhukattai-recipe-uppu-kozhukattai-urad-dal-modak,"salt,ginger,sunflower oil,asafoetida (hing),mustard seeds,sesame (gingelly) oil,water,curry leaves,rice flour,green chillies,white urad dal",11
Singapore Style Chicken Layered Fried Rice Recipe,75,https://www.archanaskitchen.com/singapore-style-chicken-layered-fried-rice-recipe,"spring onion greens,cumin powder (jeera),carrot,onion,black pepper powder,green chillies,sunflower oil,eggs noodles tossed oil,salt,soy sauce,white pepper powder,rice,chinese spice powder,red chilli powder,garlic,lemon,classic mayonnaise (with eggs),sweet spicy red chilli sauce (tomato chilli sauce),boneless chicken,ginger,spring onion (bulb greens),tomato ketchup,vinegar,green bell pepper (capsicum),red chilli sauce",25
Tofu Pulao Recipe,65,https://www.archanaskitchen.com/tofu-pulao-recipe-in-hindi,"turmeric powder,salt,tomato take,rice,ghee,capsicum (green) red yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder",17
Masala Sandwich Recipe With Rocket Leaves,30,https://www.archanaskitchen.com/masala-sandwich-recipe-with-rocket-leaves,"tomato,pav bhaji masala,salt,ginger,french bread rye bread,coriander (dhania) leaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper (capsicum),potato (aloo)",12
Tomato Relish Recipe,30,https://www.archanaskitchen.com/tomato-relish-recipe,"tomato,salt,red wine vinaigrette,cloves garlic,virgin olive oil,onion,black pepper powder,dijon mustard,cane sugar,dried oregano",10
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,45,https://www.archanaskitchen.com/dubuk-vade-recipe-khandeshi-gram-flour-dumpling-curry,"salt,coriander (dhania) leaves,coconut,red chilli powder,cloves garlic,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,garam masala powder",10
Radish Soup Recipe,40,https://www.archanaskitchen.com/radish-soup-recipe,"salt,coriander (dhania) leaves,water,mooli mullangi (radish) purple,black pepper powder,mooli mullangi (radish),garam masala powder",7
Mango Donut Cake Recipe With Chocolate Glaze,51,https://www.archanaskitchen.com/mango-donut-cake-with-chocolate-glaze-recipe,"baking powder,salt,mango pulp (puree),baking soda,vivatta maida,sugar,vanilla,dark chocolate,cocoa powder,sunflower oil",10
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,80,https://www.archanaskitchen.com/matar-paneer-kachori-korma-recipe-green-peas-and-paneer-kachori-curry,"tomato,coriander (dhania) leaves,ajwain (carom seeds),onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,cardamom (elaichi) podsseeds,mace (javitri),cashews,flour (maida),garam masala powder,red chilli powder,curd,sugar,pepper,kasuri methi (dried fenugreek leaves),amchur (dry mango powder),paneer,green peas (matar),ginger garlic paste,cinnamon stick (dalchini),coriander powder,cloves (laung)",25
Zucchini Roll Up Lasagne Recipe,65,https://www.archanaskitchen.com/zucchini-roll-up-lasagne-recipe,"tomato,salt,red bell pepper (capsicum),rosemary,black pepper corns,mozzarella cheese,virgin olive oil,cloves garlic,red chilli flakes,basil leaves,sugar,onion,thyme leaves,green zucchini",14
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),60,https://www.archanaskitchen.com/south-indian-thengai-sadam-recipe-a-quick-and-healthy-coconut-rice,"green chillies,salt,ginger,rice,mustard seeds,coconut,curry leaves,white urad dal (split),coconut oil,chana dal (bengal gram dal),peanuts (moongphali) fistful",11
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,50,https://www.archanaskitchen.com/ambade-udid-methi-recipe-karwar-style-hog-plum-curry,"salt,coconut,asafoetida (hing),karela (bitter gourd pavakkai),hog plum (amtekai) (ambade),rice (raw rice),jaggery,black peppercorns,black urad dal (split),dry red chilli,mustard seeds,coriander (dhania) seeds,methi seeds (fenugreek seeds),turmeric powder,sunflower oil",15
Roasted Cauliflower Recipe,40,https://www.archanaskitchen.com/roasted-cauliflower-recipe,"herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder (pomegranate seed powder),cauliflower (gobi),virgin olive oil,garlic,cumin seeds (jeera),pomegranate molasses or,coriander powder",10
Pain Viennois | Vienna Bread Recipe,135,https://www.archanaskitchen.com/pain-viennois-vienna-bread-recipe,"salt,water,dry yeast,sugar,vivatta maida bread flour,eggs brushing (or milk,milk powder,butter",8
Crunchy Ginger Capsicum Rice Recipe,40,https://www.archanaskitchen.com/crunchy-ginger-capsicum-rice-recipe,"yellow bell pepper (capsicum),basmati rice,red bell pepper (capsicum),ginger,salt,sesame seeds (til seeds) mixed black white,green bell pepper (capsicum),green chillies,butter",9
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,45,https://www.archanaskitchen.com/bengali-chirer-payesh-poha-pudding-recipe-with-nolen-gur,"salt,nolen gur brown sugar,cardamom (elaichi) podsseeds,poha (flattened rice),milk,saffron strands,raisins,mixed nuts almondscashews,rice flour",9
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),100,https://www.archanaskitchen.com/shanghai-style-chap-nian-gao-recipes-stir-fried-rice-cakes-recipes,"salt,corn flour,bok choy,carrot,dark soy sauce,sugar,bean paste,button mushrooms,rice flour,red chilli sauce,cabbage (patta gobi muttaikose),sunflower oil",12
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,35,https://www.archanaskitchen.com/white-pumpkin-mor-kuzhambu-recipe-kerala-style-white-pumpkin-gravy,"salt,coconut,mustard seeds,vellai poosanikai (ash gourdwhite pumpkin),water,dry red chilli,curd,curry leaves,coconut oil,methi seeds (fenugreek seeds),black pepper powder,turmeric powder,green chillies",13
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,65,https://www.archanaskitchen.com/paneer-and-green-peas-paratha-recipe-in-hindi,"turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas",11
Elephant Yam Raita (Recipe In Hindi),40,https://www.archanaskitchen.com/senai-pachadi-recipe-elephant-yam-raita-in-hindi,"salt,rye,ginger,green chilli,kali urad dal (split),coriander,elephant yam,curd,oil,asafetida",10
Drunken Noodles Recipe - Drunken Noodles Recipe,35,https://www.archanaskitchen.com/drunken-noodles-recipe-pad-kee-mao-in-hindi,"fish sauce,ginger,capsicum (green),capsicum (yellow),capsicum (red),thai basil leaves,cloves garlic,baby corn,soy sauce,sriracha sauce,green onion,rice noodles,brown sugar",13
Chettinad Style Prawn Biryani Recipe,55,https://www.archanaskitchen.com/chettinad-style-prawn-biryani-recipe,"basmati rice,black peppercorns,curry leaves,cumin seeds (jeera),turmeric powder,green chilli paste,sunflower oil,black cardamom (badi elaichi),ginger paste,cardamom (elaichi) podsseeds,garam masala powder,coconut,red chilli powder,dry red chilli,garlic paste,hung curd (greek yogurt),bay leaves (tej patta),ghee,shrimps prawns,cinnamon stick (dalchini),coriander powder",21
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,25,https://www.archanaskitchen.com/walnut-and-flax-seed-trail-mix-recipe-with-figs-and-honey,"dried figs,flax seeds,peanuts (moongphali),walnuts,cinnamon powder (dalchini)",5
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,180,https://www.archanaskitchen.com/murgh-malaiwala-recipe-chicken-in-rich-creamy-gravy,"salt,bay leaf (tej patta),ghee,milk,gram chicken,onion,lemon,badam (almond) paste,cardamom powder (elaichi),black pepper powder,cinnamon stick (dalchini),ginger paste,kasuri methi (dried fenugreek leaves),garlic paste",14
Paal Kesari Recipe - South Indian Style Milk Kesari,35,https://www.archanaskitchen.com/milk-kesari-recipe-south-indian-paal-kesari,"cashew nuts,ghee roasting the rava,mixed dry fruits,cardamom (elaichi) podsseeds,ghee,milk,raisins,sugar,saffron strands ( using mortar pestle),sooji (semolina rava)",10
Spicy Lemon Chicken Kebab Recipe,90,https://www.archanaskitchen.com/spicy-lemon-chicken-kebab-recipe,"salt,red bell pepper (capsicum),red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts",9
